Name,Name_Associations
Acrylic_Milky_Dark,Acrylic_Milky_Dark_
Acrylic_Milky_White,Acrylic_Milky_White_
CarbonFiberCoated,TW60_Carbon_Fiber_
Carpet_Charcoal_Even,MG22_:MG26_:MG31_:MK88_
Carpet_Charcoal_Rows,NG17_
Carpet_Gray_Even,MG89_
Chrome,Chrome_:Mirror
Chrome_LessSharp,Plating_Bright_White_:Stainless_Steel_Gloss_
ChromeDark,Chrome_Dark_
Cloth_CheapFuzz_Charcoal,PG05_Flocking_
Cloth_CheapFuzz_OverheadGray,MG34_
Cloth_Tricot__Gray,FZ25_:FZ47_
Cloth_Tricot_Charcoal,FZ27_:KGP2_:KGP4_:KGP6_:KGP7_:PG05_Tricot_
FritDottedSimple,Glass_Window_Frit_Dotted_
Graphics_Black,LZ00_
Graphics_Blue,Graphic_Blue_:LZ03_
Graphics_Red,Graphic_Red_:LZ02_
Graphics_White,Graphic_White_:LZ01_:LZ05_
Leather_Black_RegularGrain,ECB0_:EG90_:VG22_:VGC4_:YG08_
Leather_Black_RoughMediumLeather_Black,YG10_
Leather_Black_SemiFineGripLeather,VG28_
Leather_Black_VerySoftGrain,YG09_
Leather_Brown_SemiFineGripLeather,VP30_
Lens_Amber_Acrylic,Acrylic_Clear_Amber_
Lens_Clear_Acrylic,Acrylic_Clear_:Acrylic_Transp_:Glass_:Glass_LED_:LED
Lens_Dark_Acrylic,Acrylic_Dark_:Acrylic_Smoked_
Lens_Red_Acrylic,Acrylic_Clear_Red_
Lens_Red_AcrylicStipple,Acrylic_Clear_Red_Grained_
Metal_Satin_FakePlastic,ZK68_
MetalBrushedLinear,Stainless_Steel_Machined_
MetalCast,Plating_Matte_White_:Steel_
MetalSatin,Bose_Logo_:Chrome_Satin_:LZ08_:Paint_Silver_
Plastic_Beige_FakeLeather200Softer,PC85_210_
Plastic_Beige_FakeLeatherShallow200,PC85_540_
Plastic_Beige_Pebble,PC85_536_
Plastic_Beige_Smooth,PC85_500_
Plastic_Beige_StippleLight,PC85_424_
Plastic_Beige_StippleRough,PC85_542_
Plastic_Black_FakeFabricGrain,PG05_187_
Plastic_Black_Gloss,LG60_:Plastic_Black_Gloss_:TK50_
Plastic_Black_Smooth,A01_:AG01_:AG01_500_:G01_:PG05_500_:PG05_549_:PG05_Paint_:Plastic_Black_:Plastic_Wire_Black_:Sensor_
Plastic_Black_StippleLight,PG05_574_:PG05_575_:PG05_576_:PG05_559_:PG05_424_
Plastic_Black_StippleRough,PG05_542_
Plastic_Charcoal_FakeLeather200Softer,PG05_210_
Plastic_Charcoal_FakeLeatherShallow200,PG05_540_:PG05_550_:PG05_565_
Plastic_Charcoal_FakeRegularLeather,PG05_570_:PG05_Urethane_
Plastic_Charcoal_LeatheryLinearGrain,PG05_185_
Plastic_Charcoal_Pebble,PG05_536_
Plastic_OverheadGray_FakeLeather200Softer,PK81_210_
Plastic_OverheadGray_FakeLeatherShallow20,PK81_540_:PK81_565_:PK82_540_
Plastic_OverheadGray_FakeRegularLeather,PK81_570_:PK81_Urethane_
Plastic_OverheadGray_GrayFakeFabricGrain,PK81_187_
Plastic_OverheadGray_Pebble,PK81_536_:PK82_536_
Plastic_OverheadGray_Smooth,PK81_500_:PK82_500_
Plastic_OverheadGray_StippleLight,PK81_424_:PK82_424_
Plastic_OverheadGray_StippleRough,PK81_542_:PK82_542_:PK81_479_
Rubber_Beige_Smooth,PC85_Rubber_
Rubber_Black_Smooth,Rubber_Black_:Rubber_Black_Foam_:PG05_Rubber_
Rubber_OverheadGray_Smooth,PK81_Rubber_
SeatAirbagTag,Airbag_Tag_
Seatbelt_Charcoal,CG008_
Stitches_Black,No_5_:No_94_:Stitch_Black_
Stitches_Gray,ZK72_:ZK80_
Stitches_White,ZK61_:ZK62_
WarningLabelVisorAirbag,Sticker_Misc_
Drew_Stuff,TheStuff
