name,Argument types,doc,Properties,Argument Enum 1,Argument Enum 2,Argument Enum 3,Argument Enum 4
aspectRatio,float,The ratio of the film back width to the film back height.,create:query:edit,,,,
cameraScale,float,Scale the camera.,create:query:edit,,,,
centerOfInterest,linear,Set the linear distance from the camera's eye point to the center of interest.,create:query:edit,,,,
clippingPlanes,boolean,Activate manual clipping planes.,create:query:edit,,,,
depthOfField,boolean,Determines whether a depth of field calculation is performed to give varying focus depending on the distance of the objects.,create:query:edit,,,,
displayFieldChart,boolean,Activate display of the video field chart when looking through the camera.,create:query:edit,,,,
displayFilmGate,boolean,Activate display of the film gate icons when looking through the camera.,create:query:edit,,,,
displayFilmOrigin,boolean,Activate the display of the film origin guide when looking through the camera.,create:query:edit,,,,
displayFilmPivot,boolean,Activate display of the film pivot guide when looking through the camera.,create:query:edit,,,,
displayGateMask,boolean,"Display the gate mask, file or resolution, as a shaded area to the edge of the viewport.",create:query:edit,,,,
displayResolution,boolean,Activate display of the current rendering resolution (as defined in the render globals) when looking through the camera.,create:query:edit,,,,
displaySafeAction,boolean,Activate display of the video Safe Action guide when looking through the camera.,create:query:edit,,,,
displaySafeTitle,boolean,Activate display of the video Safe Title guide when looking through the camera.,create:query:edit,,,,
fStop,float,"A real lens normally contains a diaphragm or other stop which blocks some of the light that would otherwise pass through it. This stop is usually approximately round, and its diameter as seen from the front of the lens is called the lens diameter. The lens diameter is often described by its relation to the focal length of the lens. A lens whose diameter is one-eighth its local length is said to have an F-stop of 8. This is an optical property of the lens.",create:query:edit,,,,
farClipPlane,linear,Specify the distance to the far clipping plane.,create:query:edit,,,,
farFocusDistance,linear,Linear distance to the far focus plane.,create:query:edit,,,,
